team1_id,TeamName,LR
1101,Abilene Chr,R
1113,Arizona St,L
1120,Auburn,R
1124,Baylor,L
1125,Belmont,L
1133,Bradley,L
1138,Buffalo,L
1153,Cincinnati,R
1159,Colgate,R
1181,Duke,L
1192,F Dickinson,L
1196,Florida,L
1199,Florida St,L
1205,Gardner Webb,R
1209,Georgia St,R
1211,Gonzaga,L
1222,Houston,R
1233,Iona,R
1234,Iowa,R
1235,Iowa St,R
1242,Kansas,R
1243,Kansas St,R
1246,Kentucky,R
1251,Liberty,L
1257,Louisville,L
1261,LSU,L
1266,Marquette,L
1268,Maryland,L
1276,Michigan,L
1277,Michigan St,L
1278,Minnesota,L
1279,Mississippi,R
1280,Mississippi St,L
1285,Montana,L
1293,Murray St,L
1295,N Dakota St,L
1297,N Kentucky,L
1300,NC Central,L
1305,Nevada,L
1308,New Mexico St,R
1314,North Carolina,R
1318,Northeastern,R
1326,Ohio St,R
1328,Oklahoma,R
1330,Old Dominion,R
1332,Oregon,R
1341,Prairie View,L
1345,Purdue,R
1371,Seton Hall,R
1385,St John's,L
1387,St Louis,L
1388,St Mary's CA,R
1393,Syracuse,L
1396,Temple,L
1397,Tennessee,R
1403,Texas Tech,L
1414,UC Irvine,R
1416,UCF,L
1429,Utah St,R
1433,VA Commonwealth,L
1436,Vermont,L
1437,Villanova,R
1438,Virginia,R
1439,Virginia Tech,L
1449,Washington,R
1458,Wisconsin,R
1459,Wofford,R
1463,Yale,L
